STATE, MEAN SMW BY STATE
Alaska,5.27490566
District of Columbia,5.250188679
Oregon,5.244339623
Massachusetts,5.24245283
Connecticut,5.19490566
Washington,5.186415094
California,5.175471698
Vermont,5.140377358
Rhode Island,4.929245283
Maine,4.848113208
Hawaii,4.843396226
New York,4.820754717
New Jersey,4.748113208
Maryland,4.645283019
Michigan,4.540566038
Guam,4.499056604
Delaware,4.489622642
Illinois,4.487735849
Pennsylvania,4.412264151
New Hampshire,4.408490566
Wisconsin,4.355660377
West Virginia,4.333018868
Nevada,4.285471698
Colorado,4.253018868
North Carolina,4.241509434
South Dakota,4.236792453
New Mexico,4.227358491
Arkansas,4.193632075
North Dakota,4.146226415
Nebraska,4.136792453
Utah,4.083962264
Idaho,4.070754717
Minnesota,4.024339623
Kentucky,3.969811321
Virginia,3.930188679
Ohio,3.826415094
Indiana,3.793396226
Montana,3.654716981
Texas,3.629245283
U.S. Virgin Islands,3.472641509
Missouri,3.447169811
Iowa,3.358490566
Georgia,3.081698113
Wyoming,2.838679245
Kansas,2.816981132
Oklahoma,2.506603774
Arizona,2.324415094
Florida,2.160943396
Puerto Rico,1.961320755
Tennessee,0
South Carolina,0
Louisiana,0
Alabama,0
Mississippi,0
